Year,G,ARI,ATL,CHC,CIN,COL,HOU,LAD,MIA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN
2024,23,10,14,13,11,4,,12,5,13,12,13,11,11,10,9,9
2023,162,84,104,83,82,59,,100,84,92,75,90,76,82,79,71,71
2022,162,74,101,74,62,68,,111,69,86,101,87,62,89,81,93,55
2021,162,52,88,71,83,74,,106,67,95,77,82,61,79,107,90,65
2020,60,25,35,34,31,26,,43,31,29,26,28,19,37,29,30,26
2019,162,85,97,84,75,71,,106,57,89,86,81,69,70,77,91,93
2018,163,82,90,95,67,91,,92,63,96,77,80,82,66,73,88,82
2017,162,93,72,92,68,87,,104,77,86,70,66,75,71,64,83,97
2016,162,69,68,103,68,75,,91,79,73,87,71,78,68,87,86,95
2015,162,79,67,97,64,68,,92,71,68,90,63,98,74,84,100,83
2014,162,64,79,73,76,66,,94,77,82,79,73,88,77,88,90,96
2013,162,81,96,66,90,74,,92,62,74,74,73,94,76,76,97,86
2012,162,81,94,61,97,64,55,86,69,83,74,81,79,76,94,88,98
2011,162,94,89,71,79,73,56,82,72,96,77,102,72,71,86,90,80
2010,162,65,91,75,91,83,76,80,80,77,79,97,57,90,92,86,69
2009,162,70,86,83,78,92,74,95,87,80,70,93,62,75,88,91,59
2008,162,82,72,97,74,74,86,84,84,90,89,92,67,63,72,86,59